sku;old_url;operation;new_url;
sta7050;http://www.trains-addicted.ro/ro/blog/semnale-cfr;DELETE_LINK_AND_TEXT;;
sta4103;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR--tip-EC;DELETE_LINK;;
sta4103;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR-Marfa--tip-EC-2;DELETE_LINK;;
sta4103;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-GFR;DELETE_LINK;;
sta4102;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR--tip-EC;DELETE_LINK;;
sta4102;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR-Marfa--tip-EC-2;DELETE_LINK;;
sta4102;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-GFR;DELETE_LINK;;
sta4101-dccs;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR--tip-EC;DELETE_LINK;;
sta4101-dccs;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR-Marfa--tip-EC-2;DELETE_LINK;;
sta4101-dccs;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-GFR;DELETE_LINK;;
sta4101-a;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR--tip-EC;DELETE_LINK;;
sta4101-a;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR-Marfa--tip-EC-2;DELETE_LINK;;
sta4101-a;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-GFR;DELETE_LINK;;
sta4101;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR--tip-EC;DELETE_LINK;;
sta4101;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR-Marfa--tip-EC-2;DELETE_LINK;;
sta4101;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-GFR;DELETE_LINK;;
sta-9204;http://www.trains-addicted.ro/ro/producatori/roco/sina-dreapta-5;;sina-dreapta-r-61110.html;
sta-9204;http://www.trains-addicted.ro/ro/producatori/roco/sina-dreapta-4;;sina-dreapta-r-61111.html;
sta-9203;http://www.trains-addicted.ro/ro/producatori/roco/sina-dreapta-5;;sina-dreapta-r-61110.html;
sta-9203;http://www.trains-addicted.ro/ro/producatori/roco/sina-dreapta-4;;sina-dreapta-r-61111.html;
sta-9202;http://www.trains-addicted.ro/ro/producatori/roco/sina-dreapta-5;;sina-dreapta-r-61110.html;
sta-9202;http://www.trains-addicted.ro/ro/producatori/roco/sina-dreapta-4;;sina-dreapta-r-61111.html;
sta-9201;http://www.trains-addicted.ro/ro/producatori/roco/sina-dreapta-5;;sina-dreapta-r-61110.html;
sta-9201;http://www.trains-addicted.ro/ro/producatori/roco/sina-dreapta-4;;sina-dreapta-r-61111.html;
sta-9201;http://www.trains-addicted.ro/ro/producatori/roco/sina-curba-de-compensare;;sina-dreapta-r-61111.html;
sta-9201;http://www.trains-addicted.ro/ro/producatori/roco/macaz-drept-stanga;;sina-dreapta-r-61111.html;
sta-9201;http://www.trains-addicted.ro/ro/producatori/roco/macaz-drept-dreapta;;sina-dreapta-r-61111.html;
sta-4602;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
sta-4601;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
STA-4101-000;http://www.trains-addicted.ro/ro/producatori/studio-t-a-ro/Locomotiva-Electrica-CFR--tip-EC;DELETE_LINK;;
sta-2010-dccs;https://www.trains-addicted.ro/ro/producatori/Seuthe/generator-fum-seuthe-2-2;;generator-fum-no-10.html;
sta-2010;https://www.trains-addicted.ro/ro/producatori/Seuthe/generator-fum-seuthe-2-2;;generator-fum-no-10.html;
sta-2004-dccS;https://www.trains-addicted.ro/ro/producatori/Seuthe/generator-fum-seuthe-2-2;;generator-fum-no-10.html;
sta-2004;https://www.trains-addicted.ro/ro/producatori/Seuthe/generator-fum-seuthe-2-2;;generator-fum-no-10.html;
sta-2003-dccS;https://www.trains-addicted.ro/ro/producatori/Seuthe/generator-fum-seuthe-2-2;;generator-fum-no-10.html;
sta-2003;https://www.trains-addicted.ro/ro/producatori/Seuthe/generator-fum-seuthe-2-2;;generator-fum-no-10.html;
sta-16015;"https://www.trains-addicted.ro/ro/producatori/zimo-decoder?_perPage=100&amp;_orderBy=priceDesc&amp;_perPage=100&amp;_orderBy=productCodeAsc";DELETE_LINK;;
